Signature	SBS1	SBS7a	SBS8	SBS9	SBS17b	SBS18	SBSblood	Signature.Ig
CTG.CAG	0.000324057	0.000112073	0.027598885	0.005309559	0.000716951	0.00321211	0.006022721	0.009346365
CTT.CAT	0.000260046	0.000371241	0.041798311	0.004439632	0.007789466	0.002261486	0.00690605	0.004668335
GTA.GAA	8.12E-05	0.00040126	0.012799483	0.00264978	9.73E-05	0.001601052	0.003074109	0.0118807
GTC.GAC	0.000129023	0.000224145	0.013499455	0.002119824	0.000346976	0.001951282	0.003064657	0.002590426
GTG.GAG	0.000246044	0.000290188	0.01559937	0.000787935	0.000240983	0.001831203	0.003622077	0.006776076
GTT.GAT	0.000258046	0.000306199	0.028098865	0.002559788	0.001579892	0.003462275	0.00455402	0.003828966
TTA.TAA	0.006721193	0.000356231	0.011499535	0.025997842	0.001189918	0.0108071	0.003719569	0.018040035
TTC.TAC	2.23E-16	0.000389253	0.019499212	0.001849846	0.000241983	0.002731795	0.003759726	0.002982789
TTG.TAG	2.80E-05	2.23E-16	0.012899479	0.016698614	2.23E-16	0.001791177	0.003245523	0.002182681
TTT.TAT	0.002250399	0.000798518	0.037898469	0.016998589	0.00130991	0.007104668	0.007522102	0.005006668
ATA.ACA	0.001090193	0.000490318	0.009769605	0.020298315	9.73E-05	0.002021328	0.027694755	0.018713727
ATC.ACC	0.003040539	0.000227147	0.005009798	0.010499129	0.000251983	0.002091374	0.009024678	0.010758648
ATG.ACG	0.000106019	0.000187121	0.006979718	0.014298813	2.23E-16	0.002081367	0.02158136	0.021809778
ATT.ACT	0.005741019	0.000615399	0.014899398	0.028997593	0.000543963	0.004242788	0.027780869	0.042617116
CTA.CCA	2.23E-16	0.000451293	0.002389903	0.013698863	0.000646956	0.000386254	0.009051356	0.019152595
CTC.CCC	0.002500444	0.000259168	0.006999717	0.01529873	0.006459557	0.002461617	0.009804946	0.012849785
CTG.CCG	0.000360064	0.000104068	0.001259949	0.015398722	0.003919731	0.001621065	0.011347233	0.020432309
CTT.CCT	4.26E-05	0.001821182	0.006459739	0.03289727	0.018298745	0.002561683	0.010286424	0.032092948
GTA.GCA	0.001050186	0.000101066	0.002599895	0.00951921	5.95E-05	0.000708465	0.007457433	0.011446834
GTC.GCC	0.001900337	7.41E-05	0.002619894	0.009779188	0.001499897	0.002261486	0.006468807	0.009613793
GTG.GCG	0.001170208	7.25E-05	0.002809886	0.006309476	0.001009931	0.003982617	0.00800615	0.01235803
GTT.GCT	7.13E-05	0.000811527	0.006289746	0.009859182	0.001469899	0.003152071	0.012263978	0.018145637
TTA.TCA	0.000255045	0.002151396	0.002079916	0.013998838	0.001059927	0.001801183	0.011195861	0.015813238
TTC.TCC	0.003390602	0.000596387	0.002639893	0.013598871	0.001099925	0.006184063	0.007225481	0.013198292
TTG.TCG	0.000416074	0.000319207	2.22E-16	0.009309227	0.001209917	0.003262143	0.007753369	0.008628108
TTT.TCT	0.004330768	0.000812527	0.004569815	0.038396813	0.000999931	0.003372216	0.014031266	0.033890946
ATA.AGA	0.000172031	0.000473307	0.001639934	0.045096257	0.001409903	0.000721474	0.003163979	0.013116909
ATC.AGC	0.000207037	0.00024716	0.000667973	0.006929425	0.004479693	0.000858564	0.001847557	0.005993639
